Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion,latitud,longitud,direccion
TIENDA ARA 1363 BOGOTA RAFAEL URIBE PORTAL DE MOLINO,BOGOTA,3778547,2024/02/07,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 1370 SANTA MARTA ALFONSO LOPEZ,SANTA MARTA PARA EL MAGDALENA,273584,2023/10/11,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1445 CALI CIUDAD CORDOBA,CALI,1247799,2025/03/17,ACTIVA,2025/03/17,2025,3.3955826,-76.508044,"Cl. 55A #46 49Navarro, Navarro, Cali, Valle del Cauca, Colombia",3.3955826,-76.508044,"Cl. 55A #46 49Navarro, Navarro, Cali, Valle del Cauca, Colombia"
TIENDA ARA 1455 MEDELLIN BARRIO COLOMBIA,MEDELLIN PARA ANTIOQUIA,78252102,2023/10/19,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1456 BELLO NIQUIA DIAGONAL 61C,MEDELLIN PARA ANTIOQUIA,79801302,2024/06/26,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1473 CIUDADELA DEL NORTE DIAGONAL 50A,MEDELLIN PARA ANTIOQUIA,79088702,2024/03/11,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1495 LA CEJA SAN CAYETANO,ORIENTE ANTIOQUENO,171744,2025/04/23,ACTIVA,2025/04/23,2025,,,,,,
TIENDA ARA 1504 PALMIRA LOS LIBERTADORES CALLE 28,PALMIRA,151692,2024/05/23,ACTIVA,2025/03/21,2025,3.5247678,-76.2964394,"Cl. 28 #61 # 24, Palmira, Valle del Cauca, Colombia",3.5247678,-76.2964394,"Cl. 28 #61 # 24, Palmira, Valle del Cauca, Colombia"
TIENDA ARA 1535 SANTA MARTA LOS NARANJOS,SANTA MARTA PARA EL MAGDALENA,288881,2025/02/14,ACTIVA,2025/02/14,2025,,,,,,
TIENDA ARA 1550 SANTA MARTA FERROCARRIL,SANTA MARTA PARA EL MAGDALENA,291260,2025/04/23,ACTIVA,2025/04/23,2025,,,,,,
TIENDA ARA 1558 YARUMAL CENTRO CRA 20,MEDELLIN PARA ANTIOQUIA,80531302,2024/10/16,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1573 YARUMAL VERSALLES CRA 22,MEDELLIN PARA ANTIOQUIA,80531202,2024/10/16,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1594 MEDELLIN LOS COLORES,MEDELLIN PARA ANTIOQUIA,80752502,2024/11/25,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1600 SANTA MARTA PLAYA SALGUERO,SANTA MARTA PARA EL MAGDALENA,293199,2025/06/20,ACTIVA,2025/06/20,2025,,,,,,
TIENDA ARA 1619 LA CALERA MALL GARDENS,BOGOTA,3940647,2025/03/25,ACTIVA,2025/03/25,2025,,,,,,
TIENDA ARA 1628 MADRID LOS ALCAPARROS,FACATATIVA,196321,2025/04/10,ACTIVA,2025/04/10,2025,4.736189700000001,-74.2623952,"Cl. 9 #8 - 4, Madrid, Cundinamarca, Colombia",4.736189700000001,-74.2623952,"Cl. 9 #8 - 4, Madrid, Cundinamarca, Colombia"
TIENDA ARA 1736 SANTA MARTA TEJARES,SANTA MARTA PARA EL MAGDALENA,294286,2025/07/24,ACTIVA,2025/07/24,2025,,,,,,
TIENDA ARA 414 GINEBRA SIMON BOLIVAR,BUGA,66464,2017/12/07,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 433 - RESTREPO VALLE,BUGA,72541,2019/10/04,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 567 ORIHUECA CALLE 5,SANTA MARTA PARA EL MAGDALENA,213995,2019/03/13,ACTIVA,2025/03/21,2025,,,,,,
