Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
SUPERMERCADO JUSTO Y BUENO PAIPA VIA,DUITAMA,94976,2019/05/27,ACTIVA,2021/03/08,2021,5.775975,-73.11749139999999,"Cl 25 #15-80, Paipa, Boyacá, Colombia"
SUPERMERCADO JUSTO Y BUENO PALERMO,BOGOTA,3136003,2019/07/08,ACTIVA,2021/03/19,2021,2.8262875,-75.3280905,"CASA LOTE 131 A, Palermo, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PALMITAS,BOGOTA,3247697,2020/06/11,ACTIVA,2021/03/19,2021,7.8229616,-72.4722204,"Cl. 18 # 7 - 01, Villa Del Rosario, Norte de Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO PARQUE COMERCIAL BIMA,BOGOTA,3272345,2020/08/14,ACTIVA,2021/03/19,2021,4.8088106,-74.0393332,"Auto. Norte #232-35, Suba, Bogotá, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO PARQUE LUIS CARLOS GALAN,BOGOTA,3105979,2019/04/30,ACTIVA,2021/03/19,2021,4.6752389,-74.08461659999999,"Cl. 68 #65A5, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO PASTRANA,HUILA,309530,2018/02/22,ACTIVA,2021/02/19,2021,10.6879164,-71.6768591,"M8QF+56G, Maracaibo 4005, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO PATIO BONITO 87,BOGOTA,3234447,2020/03/13,ACTIVA,2021/03/19,2021,4.6353009,-74.1634473,"Cl. 38 Sur, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO PITALITO 2,HUILA,306105,2017/12/11,ACTIVA,2021/02/19,2021,1.8489228,-76.0442253,"Cl 5 #16A-142, Pitalito, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PITALITO 3,HUILA,317125,2018/09/04,ACTIVA,2021/03/05,2021,1.8489228,-76.0442253,"Cl 5 #16A-142, Pitalito, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PITALITO 4,HUILA,318761,2018/09/27,ACTIVA,2021/03/19,2021,1.8489228,-76.0442253,"Cl 5 #16A-142, Pitalito, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PITALITO HUILA,HUILA,302605,2017/09/08,ACTIVA,2021/02/19,2021,1.8494315,-76.0484005,"Cra. 4 #2-18, Pitalito, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PITALITO LOS LAGOS,HUILA,327529,2019/05/16,ACTIVA,2021/03/25,2021,1.8489228,-76.0442253,"Cl 5 #16A-142, Pitalito, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PLANADAS TOLIMA,SUR Y ORIENTE DEL TOLIMA,101093,2019/12/09,ACTIVA,2021/02/11,2021,3.193885,-75.64585799999999,"Cra. 5 # 6 - 26, Planadas, Tolima, Colombia"
SUPERMERCADO JUSTO Y BUENO PLANETA RICA LOS ANGELES,MONTERIA,180076,2020/06/18,ACTIVA,2021/03/25,2021,8.4105851,-75.58191339999999,"Cra. 7 #20-46, Planeta Rica, Córdoba, Colombia"
SUPERMERCADO JUSTO Y BUENO POLO CLUB,BOGOTA,3292352,2020/10/02,ACTIVA,2021/03/19,2021,4.6743489,-74.0625103,"Cra. 24 #8628, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO PORE,CASANARE,149503,2020/06/24,ACTIVA,2021/02/26,2021,5.7265201,-71.9944515,"Carrera 21 # 3 - 63, Pore, Casanare, Colombia"
SUPERMERCADO JUSTO Y BUENO PRADERA VALLE,PALMIRA,127043,2019/07/22,CANCELADA,2021/02/18,2021,3.420058,-76.2428181,"Cra. 11 #6-62, Pradera, Valle del Cauca, Colombia"
SUPERMERCADO JUSTO Y BUENO PRESIDENTE CUBEROS,CUCUTA,382681,2020/11/19,ACTIVA,2021/03/31,2021,7.8757858,-72.5100985,"Cl. 22 # 12-42, Alfonso López, Cúcuta, Norte de Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO PRIMERA DE MAYO,HUILA,306100,2017/12/01,ACTIVA,2021/03/26,2021,4.7569241,-74.06432339999999,"Cl. 170 #N° 64-47, Suba, Bogotá, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO PUEBLO NUEVO,MONTERIA,175564,2019/10/21,ACTIVA,2021/03/25,2021,8.503114499999999,-75.5076155,"Cra. 11 # 14 - 43, Pueblo Nuevo, Córdoba, Colombia"
SUPERMERCADO JUSTO Y BUENO PUENTE NACIONAL,BUCARAMANGA,9000456386,2020/03/20,ACTIVA,2021/03/17,2021,5.8761113,-73.6791655,"Cra. 5 # 5-39, Puente Nacional, Santander, Colombia"
