ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
96,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,47.0,8.333333,0.0,6.0
132,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,43.0,7.0,0.0,3.0
95,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4375,43.625,7.3125,0.0,13.0
839,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0,3.0,0.0,1.0
89,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.5,43.346153,6.8076925,1.0,23.0
68,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.75,30.0,7.25,0.0,8.0
93,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.375,47.375,6.25,0.0,8.0
67,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.35714287,51.0,7.214286,0.0,14.0
92,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,34.666668,7.6666665,0.0,2.0
44,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.16666667,58.5,9.5,0.0,6.0
66,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,52.666668,9.0,0.0,3.0
45,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
46,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.16666667,46.666668,7.6666665,1.0,5.0
126,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
125,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,38.5,6.5,0.0,4.0
129,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,44.3,5.8,0.0,10.0
184,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,40.25,7.0,0.0,4.0
183,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,45.666668,7.0,0.0,3.0
127,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47.0,4.0,0.0,2.0
91,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2,37.0,8.6,0.0,5.0
140,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.35714287,44.57143,9.214286,0.0,14.0
139,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5555556,44.77778,8.666667,1.0,8.0
852,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,42.25,7.9583335,1.0,21.0
138,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.44444445,47.11111,7.9444447,2.0,16.0
133,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5714286,42.714287,7.428571,0.0,6.0
147,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6041667,46.291668,8.708333,1.0,44.0
851,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.59090906,44.636364,8.045455,3.0,18.0
143,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,43.555557,7.0,1.0,8.0
142,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5714286,45.42857,8.285714,0.0,7.0
167,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,39.08,7.04,2.0,20.0
153,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,43.583332,8.583333,0.0,11.0
152,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.125,43.25,8.25,0.0,6.0
148,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2,54.0,8.6,1.0,4.0
850,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4074074,48.62963,8.740741,0.0,26.0
849,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.375,45.375,6.8125,1.0,14.0
764,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28.0,4.0,0.0,1.0
770,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
668,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
713,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
714,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,37.0,4.0,0.0,2.0
721,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22.0,5.0,0.0,1.0
771,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29.5,4.0,3.0,1.0
772,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0,2.0,1.0,0.0
769,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
666,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.125,33.5,3.875,1.0,6.0
667,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25.0,5.0,0.0,1.0
669,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0,11.0,0.0,1.0
671,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
776,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.09090909,63.272728,4.181818,1.0,10.0
774,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,44.166668,3.5,1.0,5.0
778,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.375,42.125,5.625,0.0,15.0
