ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
458.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
476.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
480.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
456.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
993.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
350.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
486.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
487.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
155.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
151.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
259.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
149.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
150.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
258.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
257.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
256.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
242.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
488.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
473.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
460.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
474.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
459.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
457.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
664.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
165.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
164.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
168.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
241.0,2011,1.0,1,0.0,0,0.0,0,0.0,0,2.0
224.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
246.0,2011,1.0,1,0.0,0,0.0,0,0.0,0,2.0
472.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
491.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
471.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
461.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
489.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
490.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
492.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
452.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
493.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
602.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
453.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
604.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
443.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
454.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
465.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
470.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
469.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
462.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
494.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
621.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
963.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
662.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
661.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
663.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
670.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
672.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
712.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
622.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
442.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
355.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
455.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
463.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
464.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
466.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
451.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
468.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
446.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
969.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
445.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
444.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
449.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
448.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
500.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
499.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
467.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
498.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
497.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
968.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
620.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
572.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
627.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
628.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
629.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
630.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
659.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
660.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
573.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
450.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
447.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
438.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
434.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
